userId	geneSymbol	geneName	entrezgene	gLink
Gna12	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
Trim25	Trim25	tripartite motif-containing 25	217069	https://www.ncbi.nlm.nih.gov/gene/?term=217069
Bcl6b	Bcl6b	B cell CLL/lymphoma 6, member B	12029	https://www.ncbi.nlm.nih.gov/gene/?term=12029
Myo18a	Myo18a	myosin XVIIIA	360013	https://www.ncbi.nlm.nih.gov/gene/?term=360013
Chmp1a	Chmp1a	charged multivesicular body protein 1A	234852	https://www.ncbi.nlm.nih.gov/gene/?term=234852
Il12rb1	Il12rb1	interleukin 12 receptor, beta 1	16161	https://www.ncbi.nlm.nih.gov/gene/?term=16161
Chtop	Chtop	chromatin target of PRMT1	66511	https://www.ncbi.nlm.nih.gov/gene/?term=66511
Vps9d1	Vps9d1	VPS9 domain containing 1	72325	https://www.ncbi.nlm.nih.gov/gene/?term=72325
Zfp276	Zfp276	zinc finger protein (C2H2 type) 276	57247	https://www.ncbi.nlm.nih.gov/gene/?term=57247
Ftcd	Ftcd	formiminotransferase cyclodeaminase	14317	https://www.ncbi.nlm.nih.gov/gene/?term=14317
Hpn	Hpn	hepsin	15451	https://www.ncbi.nlm.nih.gov/gene/?term=15451
Sp1	Sp1	trans-acting transcription factor 1	20683	https://www.ncbi.nlm.nih.gov/gene/?term=20683
Rarg	Rarg	retinoic acid receptor, gamma	19411	https://www.ncbi.nlm.nih.gov/gene/?term=19411
Mef2d	Mef2d	myocyte enhancer factor 2D	17261	https://www.ncbi.nlm.nih.gov/gene/?term=17261
Gstt1	Gstt1	glutathione S-transferase, theta 1	14871	https://www.ncbi.nlm.nih.gov/gene/?term=14871
Gstt3	Gstt3	glutathione S-transferase, theta 3	103140	https://www.ncbi.nlm.nih.gov/gene/?term=103140
Ddt	Ddt	D-dopachrome tautomerase	13202	https://www.ncbi.nlm.nih.gov/gene/?term=13202
Tat	Tat	tyrosine aminotransferase	234724	https://www.ncbi.nlm.nih.gov/gene/?term=234724
