userId	geneSymbol	geneName	entrezgene	gLink
Gna12	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
Trim25	Trim25	tripartite motif-containing 25	217069	https://www.ncbi.nlm.nih.gov/gene/?term=217069
Mnt	Mnt	max binding protein	17428	https://www.ncbi.nlm.nih.gov/gene/?term=17428
Mmp14	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	17387	https://www.ncbi.nlm.nih.gov/gene/?term=17387
Ilf2	Ilf2	interleukin enhancer binding factor 2	67781	https://www.ncbi.nlm.nih.gov/gene/?term=67781
Chtop	Chtop	chromatin target of PRMT1	66511	https://www.ncbi.nlm.nih.gov/gene/?term=66511
Mef2d	Mef2d	myocyte enhancer factor 2D	17261	https://www.ncbi.nlm.nih.gov/gene/?term=17261
Gstt1	Gstt1	glutathione S-transferase, theta 1	14871	https://www.ncbi.nlm.nih.gov/gene/?term=14871
Gstt3	Gstt3	glutathione S-transferase, theta 3	103140	https://www.ncbi.nlm.nih.gov/gene/?term=103140
Ddt	Ddt	D-dopachrome tautomerase	13202	https://www.ncbi.nlm.nih.gov/gene/?term=13202
Tat	Tat	tyrosine aminotransferase	234724	https://www.ncbi.nlm.nih.gov/gene/?term=234724
Tcirg1	Tcirg1	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	27060	https://www.ncbi.nlm.nih.gov/gene/?term=27060
Naglu	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	27419	https://www.ncbi.nlm.nih.gov/gene/?term=27419
Coasy	Coasy	Coenzyme A synthase	71743	https://www.ncbi.nlm.nih.gov/gene/?term=71743
Capns1	Capns1	calpain, small subunit 1	12336	https://www.ncbi.nlm.nih.gov/gene/?term=12336
Tmem25	Tmem25	transmembrane protein 25	71687	https://www.ncbi.nlm.nih.gov/gene/?term=71687
Bbc3	Bbc3	BCL2 binding component 3	170770	https://www.ncbi.nlm.nih.gov/gene/?term=170770
Acp2	Acp2	acid phosphatase 2, lysosomal	11432	https://www.ncbi.nlm.nih.gov/gene/?term=11432
