chr	start	end	ID
chr1	7159990	7160300	PROK_LIV_1_7159990_7160300
chr1	9305520	9306200	PROK_LIV_1_9305520_9306200
chr1	9615790	9616020	PROK_LIV_1_9615790_9616020
chr1	21292010	21292280	PROK_LIV_1_21292010_21292280
chr1	21311420	21311900	PROK_LIV_1_21311420_21311900
chr1	21313490	21313970	PROK_LIV_1_21313490_21313970
chr1	21316380	21316750	PROK_LIV_1_21316380_21316750
chr1	21319310	21319530	PROK_LIV_1_21319310_21319530
chr1	23226550	23226840	PROK_LIV_1_23226550_23226840
chr1	23343430	23343710	PROK_LIV_1_23343430_23343710
chr1	23961030	23961220	PROK_LIV_1_23961030_23961220
chr1	24138990	24139180	PROK_LIV_1_24138990_24139180
chr1	24139780	24139900	PROK_LIV_1_24139780_24139900
chr1	30272080	30272390	PROK_LIV_1_30272080_30272390
chr1	30912250	30912530	PROK_LIV_1_30912250_30912530
chr1	36105080	36105650	PROK_LIV_1_36105080_36105650
chr1	36114510	36114690	PROK_LIV_1_36114510_36114690
chr1	36118730	36119230	PROK_LIV_1_36118730_36119230
chr1	36132990	36133160	PROK_LIV_1_36132990_36133160
chr1	36551220	36551370	PROK_LIV_1_36551220_36551370
chr1	37339750	37340190	PROK_LIV_1_37339750_37340190
chr1	37912190	37912510	PROK_LIV_1_37912190_37912510
chr1	39407100	39407490	PROK_LIV_1_39407100_39407490
chr1	40261000	40261540	PROK_LIV_1_40261000_40261540
chr1	42572040	42572450	PROK_LIV_1_42572040_42572450
chr1	44169440	44169750	PROK_LIV_1_44169440_44169750
chr1	45964450	45964590	PROK_LIV_1_45964450_45964590
chr1	54584350	54584740	PROK_LIV_1_54584350_54584740
chr1	55200130	55200490	PROK_LIV_1_55200130_55200490
chr1	58070360	58070710	PROK_LIV_1_58070360_58070710
chr1	58462840	58463040	PROK_LIV_1_58462840_58463040
chr1	59713330	59713530	PROK_LIV_1_59713330_59713530
chr1	60605530	60605700	PROK_LIV_1_60605530_60605700
chr1	60699220	60699360	PROK_LIV_1_60699220_60699360
chr1	60743460	60743630	PROK_LIV_1_60743460_60743630
chr1	61763220	61763830	PROK_LIV_1_61763220_61763830
chr1	62742720	62742900	PROK_LIV_1_62742720_62742900
chr1	65157630	65158030	PROK_LIV_1_65157630_65158030
chr1	65216030	65216330	PROK_LIV_1_65216030_65216330
chr1	66887870	66888540	PROK_LIV_1_66887870_66888540
chr1	72172580	72172790	PROK_LIV_1_72172580_72172790
chr1	72264970	72265220	PROK_LIV_1_72264970_72265220
chr1	72313260	72313650	PROK_LIV_1_72313260_72313650
chr1	72865660	72866230	PROK_LIV_1_72865660_72866230
chr1	74053630	74054140	PROK_LIV_1_74053630_74054140
chr1	74097950	74098300	PROK_LIV_1_74097950_74098300
chr1	74235740	74236120	PROK_LIV_1_74235740_74236120
chr1	74758410	74758940	PROK_LIV_1_74758410_74758940
chr1	75118600	75118850	PROK_LIV_1_75118600_75118850
chr1	75124080	75124380	PROK_LIV_1_75124080_75124380
chr1	79728810	79729130	PROK_LIV_1_79728810_79729130
chr1	82212730	82213030	PROK_LIV_1_82212730_82213030
chr1	82261510	82261910	PROK_LIV_1_82261510_82261910
chr1	84816230	84816630	PROK_LIV_1_84816230_84816630
chr1	85965870	85966250	PROK_LIV_1_85965870_85966250
chr1	85980770	85981440	PROK_LIV_1_85980770_85981440
chr1	86279440	86279640	PROK_LIV_1_86279440_86279640
chr1	86286230	86286950	PROK_LIV_1_86286230_86286950
chr1	86454570	86454740	PROK_LIV_1_86454570_86454740
chr1	86455480	86455840	PROK_LIV_1_86455480_86455840
chr1	86456260	86456730	PROK_LIV_1_86456260_86456730
chr1	86523020	86523450	PROK_LIV_1_86523020_86523450
chr1	87004420	87005140	PROK_LIV_1_87004420_87005140
chr1	87501520	87501990	PROK_LIV_1_87501520_87501990
chr1	87683910	87684110	PROK_LIV_1_87683910_87684110
chr1	87691590	87692110	PROK_LIV_1_87691590_87692110
chr1	87820260	87820590	PROK_LIV_1_87820260_87820590
chr1	87828700	87829180	PROK_LIV_1_87828700_87829180
chr1	88022150	88022380	PROK_LIV_1_88022150_88022380
chr1	88037380	88037690	PROK_LIV_1_88037380_88037690
chr1	88046940	88047480	PROK_LIV_1_88046940_88047480
chr1	88053780	88054060	PROK_LIV_1_88053780_88054060
chr1	88107350	88107880	PROK_LIV_1_88107350_88107880
chr1	88139400	88139790	PROK_LIV_1_88139400_88139790
chr1	88141160	88142240	PROK_LIV_1_88141160_88142240
chr1	88203410	88204000	PROK_LIV_1_88203410_88204000
chr1	88206320	88206590	PROK_LIV_1_88206320_88206590
chr1	88213420	88213800	PROK_LIV_1_88213420_88213800
chr1	88334910	88335070	PROK_LIV_1_88334910_88335070
chr1	88336000	88336500	PROK_LIV_1_88336000_88336500
chr1	88346730	88347100	PROK_LIV_1_88346730_88347100
chr1	91225400	91225750	PROK_LIV_1_91225400_91225750
chr1	91227790	91228140	PROK_LIV_1_91227790_91228140
chr1	91386580	91386860	PROK_LIV_1_91386580_91386860
chr1	92637060	92637540	PROK_LIV_1_92637060_92637540
chr1	93333600	93334000	PROK_LIV_1_93333600_93334000
chr1	93438120	93438500	PROK_LIV_1_93438120_93438500
chr1	94699730	94700170	PROK_LIV_1_94699730_94700170
chr1	96952940	96953440	PROK_LIV_1_96952940_96953440
chr1	96953950	96954300	PROK_LIV_1_96953950_96954300
chr1	105040870	105041190	PROK_LIV_1_105040870_105041190
chr1	105042290	105043000	PROK_LIV_1_105042290_105043000
chr1	105043020	105043610	PROK_LIV_1_105043020_105043610
chr1	105283600	105283940	PROK_LIV_1_105283600_105283940
chr1	105828220	105828610	PROK_LIV_1_105828220_105828610
chr1	105834190	105834500	PROK_LIV_1_105834190_105834500
chr1	105835990	105836270	PROK_LIV_1_105835990_105836270
chr1	105836290	105836690	PROK_LIV_1_105836290_105836690
chr1	105836710	105836880	PROK_LIV_1_105836710_105836880
chr1	105919910	105920200	PROK_LIV_1_105919910_105920200
chr1	105920780	105920920	PROK_LIV_1_105920780_105920920
chr1	105941530	105941800	PROK_LIV_1_105941530_105941800
chr1	119468870	119469160	PROK_LIV_1_119468870_119469160
chr1	120192220	120192800	PROK_LIV_1_120192220_120192800
chr1	125488930	125489100	PROK_LIV_1_125488930_125489100
chr1	125489120	125489350	PROK_LIV_1_125489120_125489350
chr1	127210300	127210540	PROK_LIV_1_127210300_127210540
chr1	127626610	127626930	PROK_LIV_1_127626610_127626930
chr1	127649960	127650280	PROK_LIV_1_127649960_127650280
chr1	127659880	127660160	PROK_LIV_1_127659880_127660160
chr1	127702270	127702810	PROK_LIV_1_127702270_127702810
chr1	128344750	128344960	PROK_LIV_1_128344750_128344960
chr1	130644010	130644280	PROK_LIV_1_130644010_130644280
chr1	131935480	131935620	PROK_LIV_1_131935480_131935620
chr1	131938280	131938850	PROK_LIV_1_131938280_131938850
chr1	132053900	132054060	PROK_LIV_1_132053900_132054060
chr1	132447490	132447790	PROK_LIV_1_132447490_132447790
chr1	133173240	133173730	PROK_LIV_1_133173240_133173730
chr1	133173930	133174160	PROK_LIV_1_133173930_133174160
chr1	133181960	133182230	PROK_LIV_1_133181960_133182230
chr1	133182910	133183460	PROK_LIV_1_133182910_133183460
chr1	133186130	133186480	PROK_LIV_1_133186130_133186480
chr1	133193080	133193740	PROK_LIV_1_133193080_133193740
chr1	133214720	133215080	PROK_LIV_1_133214720_133215080
chr1	133217180	133217690	PROK_LIV_1_133217180_133217690
chr1	133288730	133289090	PROK_LIV_1_133288730_133289090
chr1	133289850	133290330	PROK_LIV_1_133289850_133290330
chr1	133290810	133291000	PROK_LIV_1_133290810_133291000
chr1	133295230	133295640	PROK_LIV_1_133295230_133295640
chr1	133299630	133299800	PROK_LIV_1_133299630_133299800
chr1	133520910	133521120	PROK_LIV_1_133520910_133521120
chr1	133580010	133580260	PROK_LIV_1_133580010_133580260
chr1	134006530	134006750	PROK_LIV_1_134006530_134006750
chr1	134021130	134021300	PROK_LIV_1_134021130_134021300
chr1	134026470	134026750	PROK_LIV_1_134026470_134026750
chr1	134144600	134145410	PROK_LIV_1_134144600_134145410
chr1	134148820	134149220	PROK_LIV_1_134148820_134149220
chr1	134149810	134150200	PROK_LIV_1_134149810_134150200
chr1	134160360	134160850	PROK_LIV_1_134160360_134160850
chr1	134160910	134161270	PROK_LIV_1_134160910_134161270
chr1	134162160	134162440	PROK_LIV_1_134162160_134162440
chr1	134162850	134163110	PROK_LIV_1_134162850_134163110
chr1	134163130	134163540	PROK_LIV_1_134163130_134163540
chr1	134165010	134165160	PROK_LIV_1_134165010_134165160
chr1	134342430	134342850	PROK_LIV_1_134342430_134342850
chr1	134488620	134488880	PROK_LIV_1_134488620_134488880
chr1	135210910	135211090	PROK_LIV_1_135210910_135211090
chr1	135241030	135241330	PROK_LIV_1_135241030_135241330
chr1	135657040	135657360	PROK_LIV_1_135657040_135657360
chr1	136623900	136624410	PROK_LIV_1_136623900_136624410
chr1	139644620	139645390	PROK_LIV_1_139644620_139645390
chr1	151004720	151005000	PROK_LIV_1_151004720_151005000
chr1	151005510	151006570	PROK_LIV_1_151005510_151006570
chr1	151006830	151007440	PROK_LIV_1_151006830_151007440
chr1	151007570	151007920	PROK_LIV_1_151007570_151007920
chr1	151007940	151008380	PROK_LIV_1_151007940_151008380
chr1	151028780	151029550	PROK_LIV_1_151028780_151029550
chr1	151204480	151204810	PROK_LIV_1_151204480_151204810
chr1	151216990	151217630	PROK_LIV_1_151216990_151217630
chr1	151218500	151219040	PROK_LIV_1_151218500_151219040
chr1	151220650	151220850	PROK_LIV_1_151220650_151220850
chr1	151304550	151304730	PROK_LIV_1_151304550_151304730
chr1	152498430	152498800	PROK_LIV_1_152498430_152498800
chr1	152644010	152644220	PROK_LIV_1_152644010_152644220
chr1	152779070	152779360	PROK_LIV_1_152779070_152779360
chr1	152780160	152780660	PROK_LIV_1_152780160_152780660
chr1	153578080	153578650	PROK_LIV_1_153578080_153578650
chr1	153615800	153616380	PROK_LIV_1_153615800_153616380
chr1	153776710	153777110	PROK_LIV_1_153776710_153777110
chr1	155918810	155919060	PROK_LIV_1_155918810_155919060
chr1	156840510	156840870	PROK_LIV_1_156840510_156840870
chr1	157382660	157382890	PROK_LIV_1_157382660_157382890
chr1	158667180	158667560	PROK_LIV_1_158667180_158667560
chr1	160898080	160898300	PROK_LIV_1_160898080_160898300
chr1	161077120	161077330	PROK_LIV_1_161077120_161077330
chr1	163757080	163757480	PROK_LIV_1_163757080_163757480
chr1	163757990	163758390	PROK_LIV_1_163757990_163758390
chr1	163976990	163977220	PROK_LIV_1_163976990_163977220
chr1	163978230	163978620	PROK_LIV_1_163978230_163978620
chr1	163982480	163983060	PROK_LIV_1_163982480_163983060
chr1	163990160	163991090	PROK_LIV_1_163990160_163991090
chr1	164062560	164063180	PROK_LIV_1_164062560_164063180
chr1	164078010	164078380	PROK_LIV_1_164078010_164078380
chr1	164078900	164079330	PROK_LIV_1_164078900_164079330
chr1	164079880	164080560	PROK_LIV_1_164079880_164080560
chr1	164082440	164082940	PROK_LIV_1_164082440_164082940
chr1	164555250	164555380	PROK_LIV_1_164555250_164555380
chr1	165021510	165021750	PROK_LIV_1_165021510_165021750
chr1	165248970	165249440	PROK_LIV_1_165248970_165249440
chr1	165289360	165289740	PROK_LIV_1_165289360_165289740
chr1	165297390	165297650	PROK_LIV_1_165297390_165297650
chr1	165591460	165591660	PROK_LIV_1_165591460_165591660
chr1	165591680	165592200	PROK_LIV_1_165591680_165592200
chr1	165592710	165593160	PROK_LIV_1_165592710_165593160
chr1	165593810	165594540	PROK_LIV_1_165593810_165594540
chr1	165596550	165596710	PROK_LIV_1_165596550_165596710
chr1	165596730	165597140	PROK_LIV_1_165596730_165597140
chr1	165597850	165598150	PROK_LIV_1_165597850_165598150
chr1	166120670	166121060	PROK_LIV_1_166120670_166121060
chr1	167201880	167202250	PROK_LIV_1_167201880_167202250
chr1	167708990	167709260	PROK_LIV_1_167708990_167709260
chr1	169969170	169969460	PROK_LIV_1_169969170_169969460
chr1	170082970	170083150	PROK_LIV_1_170082970_170083150
chr1	170696100	170696340	PROK_LIV_1_170696100_170696340
chr1	170938600	170938800	PROK_LIV_1_170938600_170938800
chr1	170977810	170978020	PROK_LIV_1_170977810_170978020
chr1	171006400	171006630	PROK_LIV_1_171006400_171006630
chr1	171009240	171009510	PROK_LIV_1_171009240_171009510
chr1	171031470	171031720	PROK_LIV_1_171031470_171031720
chr1	171040390	171040800	PROK_LIV_1_171040390_171040800
chr1	171040820	171041030	PROK_LIV_1_171040820_171041030
chr1	171041050	171041260	PROK_LIV_1_171041050_171041260
chr1	171041280	171041920	PROK_LIV_1_171041280_171041920
chr1	171059970	171060200	PROK_LIV_1_171059970_171060200
chr1	171065020	171065290	PROK_LIV_1_171065020_171065290
chr1	171090310	171090610	PROK_LIV_1_171090310_171090610
chr1	171157490	171157730	PROK_LIV_1_171157490_171157730
chr1	171239560	171239740	PROK_LIV_1_171239560_171239740
chr1	172613480	172613890	PROK_LIV_1_172613480_172613890
chr1	175459170	175459380	PROK_LIV_1_175459170_175459380
