chr	start	end	ID
chr1	4855780	4856140	PROK_LIV_1_4855780_4856140
chr1	4877810	4878220	PROK_LIV_1_4877810_4878220
chr1	4927400	4927610	PROK_LIV_1_4927400_4927610
chr1	5153100	5153450	PROK_LIV_1_5153100_5153450
chr1	9867840	9868720	PROK_LIV_1_9867840_9868720
chr1	10014220	10014640	PROK_LIV_1_10014220_10014640
chr1	13657370	13657810	PROK_LIV_1_13657370_13657810
chr1	16174490	16174840	PROK_LIV_1_16174490_16174840
chr1	16735170	16735560	PROK_LIV_1_16735170_16735560
chr1	16758790	16759090	PROK_LIV_1_16758790_16759090
chr1	20688160	20688530	PROK_LIV_1_20688160_20688530
chr1	20960580	20960910	PROK_LIV_1_20960580_20960910
chr1	21149270	21149810	PROK_LIV_1_21149270_21149810
chr1	21288880	21289170	PROK_LIV_1_21288880_21289170
chr1	23340010	23340380	PROK_LIV_1_23340010_23340380
chr1	23340400	23340800	PROK_LIV_1_23340400_23340800
chr1	23343430	23343710	PROK_LIV_1_23343430_23343710
chr1	24139200	24139760	PROK_LIV_1_24139200_24139760
chr1	30810390	30810560	PROK_LIV_1_30810390_30810560
chr1	33708760	33709030	PROK_LIV_1_33708760_33709030
chr1	33758730	33759100	PROK_LIV_1_33758730_33759100
chr1	33853420	33853830	PROK_LIV_1_33853420_33853830
chr1	34275780	34276040	PROK_LIV_1_34275780_34276040
chr1	34478330	34478640	PROK_LIV_1_34478330_34478640
chr1	34478660	34479040	PROK_LIV_1_34478660_34479040
chr1	34881980	34882310	PROK_LIV_1_34881980_34882310
chr1	36107000	36107550	PROK_LIV_1_36107000_36107550
chr1	36312380	36312920	PROK_LIV_1_36312380_36312920
chr1	36388920	36389200	PROK_LIV_1_36388920_36389200
chr1	36407500	36407630	PROK_LIV_1_36407500_36407630
chr1	36408100	36408440	PROK_LIV_1_36408100_36408440
chr1	36595490	36595990	PROK_LIV_1_36595490_36595990
chr1	36596490	36596860	PROK_LIV_1_36596490_36596860
chr1	36597150	36597710	PROK_LIV_1_36597150_36597710
chr1	36635150	36635440	PROK_LIV_1_36635150_36635440
chr1	36640710	36640950	PROK_LIV_1_36640710_36640950
chr1	36730290	36730730	PROK_LIV_1_36730290_36730730
chr1	36821370	36821550	PROK_LIV_1_36821370_36821550
chr1	37468960	37469390	PROK_LIV_1_37468960_37469390
chr1	37904090	37904730	PROK_LIV_1_37904090_37904730
chr1	39026380	39027250	PROK_LIV_1_39026380_39027250
chr1	39231720	39232180	PROK_LIV_1_39231720_39232180
chr1	39232980	39233430	PROK_LIV_1_39232980_39233430
chr1	39364380	39364720	PROK_LIV_1_39364380_39364720
chr1	39406650	39407080	PROK_LIV_1_39406650_39407080
chr1	39407510	39407750	PROK_LIV_1_39407510_39407750
chr1	39407770	39408250	PROK_LIV_1_39407770_39408250
chr1	39484670	39485250	PROK_LIV_1_39484670_39485250
chr1	39574520	39574960	PROK_LIV_1_39574520_39574960
chr1	39587760	39588240	PROK_LIV_1_39587760_39588240
chr1	39616310	39617000	PROK_LIV_1_39616310_39617000
chr1	39630740	39631220	PROK_LIV_1_39630740_39631220
chr1	39631240	39631620	PROK_LIV_1_39631240_39631620
chr1	39939710	39940180	PROK_LIV_1_39939710_39940180
chr1	40351010	40351300	PROK_LIV_1_40351010_40351300
chr1	40829600	40830000	PROK_LIV_1_40829600_40830000
chr1	42890130	42890510	PROK_LIV_1_42890130_42890510
chr1	44157840	44158250	PROK_LIV_1_44157840_44158250
chr1	45834150	45834760	PROK_LIV_1_45834150_45834760
chr1	45964610	45964980	PROK_LIV_1_45964610_45964980
chr1	46453470	46453810	PROK_LIV_1_46453470_46453810
chr1	46454310	46454730	PROK_LIV_1_46454310_46454730
chr1	46891710	46892150	PROK_LIV_1_46891710_46892150
chr1	46892440	46892970	PROK_LIV_1_46892440_46892970
chr1	47192500	47192900	PROK_LIV_1_47192500_47192900
chr1	47696640	47697220	PROK_LIV_1_47696640_47697220
chr1	48546390	48546870	PROK_LIV_1_48546390_48546870
chr1	51548170	51548670	PROK_LIV_1_51548170_51548670
chr1	51779910	51780600	PROK_LIV_1_51779910_51780600
chr1	51895460	51895680	PROK_LIV_1_51895460_51895680
chr1	51954960	51955340	PROK_LIV_1_51954960_51955340
chr1	52158360	52158740	PROK_LIV_1_52158360_52158740
chr1	52539400	52539880	PROK_LIV_1_52539400_52539880
chr1	53391710	53392110	PROK_LIV_1_53391710_53392110
chr1	54596650	54597060	PROK_LIV_1_54596650_54597060
chr1	55046240	55046510	PROK_LIV_1_55046240_55046510
chr1	55092140	55092350	PROK_LIV_1_55092140_55092350
chr1	55125910	55126410	PROK_LIV_1_55125910_55126410
chr1	55130030	55130630	PROK_LIV_1_55130030_55130630
chr1	55210880	55211130	PROK_LIV_1_55210880_55211130
chr1	55276100	55276490	PROK_LIV_1_55276100_55276490
chr1	57416530	57416890	PROK_LIV_1_57416530_57416890
chr1	57445440	57446010	PROK_LIV_1_57445440_57446010
chr1	58009040	58009510	PROK_LIV_1_58009040_58009510
chr1	58131500	58132130	PROK_LIV_1_58131500_58132130
chr1	58432100	58432420	PROK_LIV_1_58432100_58432420
chr1	58462840	58463040	PROK_LIV_1_58462840_58463040
chr1	58484520	58485100	PROK_LIV_1_58484520_58485100
chr1	58543940	58544440	PROK_LIV_1_58543940_58544440
chr1	59012490	59012930	PROK_LIV_1_59012490_59012930
chr1	59276230	59276650	PROK_LIV_1_59276230_59276650
chr1	59462820	59463280	PROK_LIV_1_59462820_59463280
chr1	59542780	59543130	PROK_LIV_1_59542780_59543130
chr1	59709800	59710120	PROK_LIV_1_59709800_59710120
chr1	59723850	59724260	PROK_LIV_1_59723850_59724260
chr1	59951920	59952350	PROK_LIV_1_59951920_59952350
chr1	60219720	60219890	PROK_LIV_1_60219720_60219890
chr1	60382530	60382930	PROK_LIV_1_60382530_60382930
chr1	60605760	60606360	PROK_LIV_1_60605760_60606360
chr1	60636060	60636430	PROK_LIV_1_60636060_60636430
chr1	60699220	60699360	PROK_LIV_1_60699220_60699360
chr1	60701240	60701470	PROK_LIV_1_60701240_60701470
chr1	60701840	60702090	PROK_LIV_1_60701840_60702090
chr1	60743650	60744000	PROK_LIV_1_60743650_60744000
chr1	61677740	61678090	PROK_LIV_1_61677740_61678090
chr1	62742240	62742700	PROK_LIV_1_62742240_62742700
chr1	62849150	62849410	PROK_LIV_1_62849150_62849410
chr1	63215700	63216110	PROK_LIV_1_63215700_63216110
chr1	63216130	63216380	PROK_LIV_1_63216130_63216380
chr1	64158880	64159280	PROK_LIV_1_64158880_64159280
