chr	start	end	ID
chr1	4841440	4841560	PROK_LIV_1_4841440_4841560
chr1	4855450	4855760	PROK_LIV_1_4855450_4855760
chr1	7159990	7160300	PROK_LIV_1_7159990_7160300
chr1	7777660	7778020	PROK_LIV_1_7777660_7778020
chr1	9305520	9306200	PROK_LIV_1_9305520_9306200
chr1	9307280	9308070	PROK_LIV_1_9307280_9308070
chr1	9308790	9309210	PROK_LIV_1_9308790_9309210
chr1	9309340	9309520	PROK_LIV_1_9309340_9309520
chr1	9616040	9616550	PROK_LIV_1_9616040_9616550
chr1	9817610	9818160	PROK_LIV_1_9817610_9818160
chr1	13425870	13426160	PROK_LIV_1_13425870_13426160
chr1	13631620	13632160	PROK_LIV_1_13631620_13632160
chr1	13658970	13659440	PROK_LIV_1_13658970_13659440
chr1	13659460	13659910	PROK_LIV_1_13659460_13659910
chr1	13730130	13730570	PROK_LIV_1_13730130_13730570
chr1	13738800	13739090	PROK_LIV_1_13738800_13739090
chr1	13739110	13739340	PROK_LIV_1_13739110_13739340
chr1	15876210	15876410	PROK_LIV_1_15876210_15876410
chr1	20960580	20960910	PROK_LIV_1_20960580_20960910
chr1	21129590	21129900	PROK_LIV_1_21129590_21129900
chr1	21150580	21150940	PROK_LIV_1_21150580_21150940
chr1	21202440	21202930	PROK_LIV_1_21202440_21202930
chr1	21292300	21292620	PROK_LIV_1_21292300_21292620
chr1	21299330	21299700	PROK_LIV_1_21299330_21299700
chr1	21299720	21300070	PROK_LIV_1_21299720_21300070
chr1	21311420	21311900	PROK_LIV_1_21311420_21311900
chr1	21313990	21314300	PROK_LIV_1_21313990_21314300
chr1	21394020	21394890	PROK_LIV_1_21394020_21394890
chr1	21398550	21399300	PROK_LIV_1_21398550_21399300
chr1	23226550	23226840	PROK_LIV_1_23226550_23226840
chr1	23343430	23343710	PROK_LIV_1_23343430_23343710
chr1	23961030	23961220	PROK_LIV_1_23961030_23961220
chr1	24146420	24146750	PROK_LIV_1_24146420_24146750
chr1	24633300	24633720	PROK_LIV_1_24633300_24633720
chr1	24738480	24739110	PROK_LIV_1_24738480_24739110
chr1	25054030	25054600	PROK_LIV_1_25054030_25054600
chr1	25057900	25058350	PROK_LIV_1_25057900_25058350
chr1	27544740	27545090	PROK_LIV_1_27544740_27545090
chr1	27922810	27923220	PROK_LIV_1_27922810_27923220
chr1	30272080	30272390	PROK_LIV_1_30272080_30272390
chr1	30810100	30810370	PROK_LIV_1_30810100_30810370
chr1	30810390	30810560	PROK_LIV_1_30810390_30810560
chr1	30810580	30811030	PROK_LIV_1_30810580_30811030
chr1	30911660	30912230	PROK_LIV_1_30911660_30912230
chr1	31031180	31031570	PROK_LIV_1_31031180_31031570
chr1	33708760	33709030	PROK_LIV_1_33708760_33709030
chr1	33758730	33759100	PROK_LIV_1_33758730_33759100
chr1	34275280	34275760	PROK_LIV_1_34275280_34275760
chr1	34312060	34312300	PROK_LIV_1_34312060_34312300
chr1	34451510	34451830	PROK_LIV_1_34451510_34451830
chr1	35875570	35876020	PROK_LIV_1_35875570_35876020
chr1	36283060	36283660	PROK_LIV_1_36283060_36283660
chr1	36388920	36389200	PROK_LIV_1_36388920_36389200
chr1	36407040	36407480	PROK_LIV_1_36407040_36407480
chr1	36407500	36407630	PROK_LIV_1_36407500_36407630
chr1	36407650	36407820	PROK_LIV_1_36407650_36407820
chr1	36635150	36635440	PROK_LIV_1_36635150_36635440
chr1	36640710	36640950	PROK_LIV_1_36640710_36640950
chr1	36640970	36641480	PROK_LIV_1_36640970_36641480
chr1	36975930	36976440	PROK_LIV_1_36975930_36976440
chr1	37380520	37380860	PROK_LIV_1_37380520_37380860
chr1	37399940	37400390	PROK_LIV_1_37399940_37400390
chr1	37468710	37468940	PROK_LIV_1_37468710_37468940
chr1	37903710	37904070	PROK_LIV_1_37903710_37904070
chr1	37911490	37911700	PROK_LIV_1_37911490_37911700
chr1	39231720	39232180	PROK_LIV_1_39231720_39232180
chr1	39407100	39407490	PROK_LIV_1_39407100_39407490
chr1	39407510	39407750	PROK_LIV_1_39407510_39407750
chr1	39473650	39473870	PROK_LIV_1_39473650_39473870
chr1	39587440	39587740	PROK_LIV_1_39587440_39587740
chr1	39587760	39588240	PROK_LIV_1_39587760_39588240
chr1	40195120	40195630	PROK_LIV_1_40195120_40195630
chr1	40202310	40203060	PROK_LIV_1_40202310_40203060
chr1	40351010	40351300	PROK_LIV_1_40351010_40351300
chr1	43866800	43867300	PROK_LIV_1_43866800_43867300
