chr	start	end	ID
chr1	4851920	4852280	PROK_LIV_1_4851920_4852280
chr1	5115410	5115800	PROK_LIV_1_5115410_5115800
chr1	6284480	6284570	PROK_LIV_1_6284480_6284570
chr1	7777660	7778020	PROK_LIV_1_7777660_7778020
chr1	8916270	8916730	PROK_LIV_1_8916270_8916730
chr1	9305520	9306200	PROK_LIV_1_9305520_9306200
chr1	9307280	9308070	PROK_LIV_1_9307280_9308070
chr1	9308790	9309210	PROK_LIV_1_9308790_9309210
chr1	9615340	9615770	PROK_LIV_1_9615340_9615770
chr1	10013390	10013810	PROK_LIV_1_10013390_10013810
chr1	10993030	10993590	PROK_LIV_1_10993030_10993590
chr1	13631620	13632160	PROK_LIV_1_13631620_13632160
chr1	13657370	13657810	PROK_LIV_1_13657370_13657810
chr1	13659460	13659910	PROK_LIV_1_13659460_13659910
chr1	16176560	16176920	PROK_LIV_1_16176560_16176920
chr1	17167840	17168350	PROK_LIV_1_17167840_17168350
chr1	19506650	19506820	PROK_LIV_1_19506650_19506820
chr1	21065850	21066090	PROK_LIV_1_21065850_21066090
chr1	21129590	21129900	PROK_LIV_1_21129590_21129900
chr1	21291360	21291840	PROK_LIV_1_21291360_21291840
chr1	21394020	21394890	PROK_LIV_1_21394020_21394890
chr1	23960500	23961010	PROK_LIV_1_23960500_23961010
chr1	24633300	24633720	PROK_LIV_1_24633300_24633720
chr1	24650490	24651560	PROK_LIV_1_24650490_24651560
chr1	24654720	24655370	PROK_LIV_1_24654720_24655370
chr1	25055440	25055690	PROK_LIV_1_25055440_25055690
chr1	27544390	27544720	PROK_LIV_1_27544390_27544720
chr1	30272080	30272390	PROK_LIV_1_30272080_30272390
chr1	30809580	30810080	PROK_LIV_1_30809580_30810080
chr1	30810100	30810370	PROK_LIV_1_30810100_30810370
chr1	30810580	30811030	PROK_LIV_1_30810580_30811030
chr1	30811050	30811430	PROK_LIV_1_30811050_30811430
chr1	31056360	31057150	PROK_LIV_1_31056360_31057150
chr1	32112830	32113180	PROK_LIV_1_32112830_32113180
chr1	32113200	32113580	PROK_LIV_1_32113200_32113580
chr1	34275280	34275760	PROK_LIV_1_34275280_34275760
chr1	35246180	35246440	PROK_LIV_1_35246180_35246440
