userId	geneSymbol	geneName	entrezgene	gLink
Tfe3	Tfe3	transcription factor E3	209446	https://www.ncbi.nlm.nih.gov/gene/?term=209446
Gna12	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
Il12rb1	Il12rb1	interleukin 12 receptor, beta 1	16161	https://www.ncbi.nlm.nih.gov/gene/?term=16161
Rab34	Rab34	RAB34, member RAS oncogene family	19376	https://www.ncbi.nlm.nih.gov/gene/?term=19376
Bbc3	Bbc3	BCL2 binding component 3	170770	https://www.ncbi.nlm.nih.gov/gene/?term=170770
Rpl3l	Rpl3l	ribosomal protein L3-like	66211	https://www.ncbi.nlm.nih.gov/gene/?term=66211
Atg4d	Atg4d	autophagy related 4D, cysteine peptidase	235040	https://www.ncbi.nlm.nih.gov/gene/?term=235040
Arrdc2	Arrdc2	arrestin domain containing 2	70807	https://www.ncbi.nlm.nih.gov/gene/?term=70807
Apoe	Apoe	apolipoprotein E	11816	https://www.ncbi.nlm.nih.gov/gene/?term=11816
Apoc2	Apoc2	apolipoprotein C-II	11813	https://www.ncbi.nlm.nih.gov/gene/?term=11813
Keap1	Keap1	kelch-like ECH-associated protein 1	50868	https://www.ncbi.nlm.nih.gov/gene/?term=50868
Gcdh	Gcdh	glutaryl-Coenzyme A dehydrogenase	270076	https://www.ncbi.nlm.nih.gov/gene/?term=270076
Dnase2a	Dnase2a	deoxyribonuclease II alpha	13423	https://www.ncbi.nlm.nih.gov/gene/?term=13423
Syce2	Syce2	synaptonemal complex central element protein 2	71846	https://www.ncbi.nlm.nih.gov/gene/?term=71846
Stat5a	Stat5a	signal transducer and activator of transcription 5A	20850	https://www.ncbi.nlm.nih.gov/gene/?term=20850
Man2b1	Man2b1	mannosidase 2, alpha B1	17159	https://www.ncbi.nlm.nih.gov/gene/?term=17159
Wdr83	Wdr83	WD repeat domain containing 83	67836	https://www.ncbi.nlm.nih.gov/gene/?term=67836
Senp3	Senp3	SUMO/sentrin specific peptidase 3	80886	https://www.ncbi.nlm.nih.gov/gene/?term=80886
Rundc3a	Rundc3a	RUN domain containing 3A	51799	https://www.ncbi.nlm.nih.gov/gene/?term=51799
B4galnt1	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1	14421	https://www.ncbi.nlm.nih.gov/gene/?term=14421
Zmiz1	Zmiz1	zinc finger, MIZ-type containing 1	328365	https://www.ncbi.nlm.nih.gov/gene/?term=328365
Fbxw9	Fbxw9	F-box and WD-40 domain protein 9	68628	https://www.ncbi.nlm.nih.gov/gene/?term=68628
Ubc	Ubc	ubiquitin C	22190	https://www.ncbi.nlm.nih.gov/gene/?term=22190
6330409D20Rik	6330409D20Rik	RIKEN cDNA 6330409D20 gene	70730	https://www.ncbi.nlm.nih.gov/gene/?term=70730
Cdk9	Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	107951	https://www.ncbi.nlm.nih.gov/gene/?term=107951
Tor2a	Tor2a	torsin family 2, member A	30933	https://www.ncbi.nlm.nih.gov/gene/?term=30933
Fpgs	Fpgs	folylpolyglutamyl synthetase	14287	https://www.ncbi.nlm.nih.gov/gene/?term=14287
Zmynd10	Zmynd10	zinc finger, MYND domain containing 10	114602	https://www.ncbi.nlm.nih.gov/gene/?term=114602
Tmem115	Tmem115	transmembrane protein 115	56395	https://www.ncbi.nlm.nih.gov/gene/?term=56395
Hyal2	Hyal2	hyaluronoglucosaminidase 2	15587	https://www.ncbi.nlm.nih.gov/gene/?term=15587
Ifrd2	Ifrd2	interferon-related developmental regulator 2	15983	https://www.ncbi.nlm.nih.gov/gene/?term=15983
Hyal1	Hyal1	hyaluronoglucosaminidase 1	15586	https://www.ncbi.nlm.nih.gov/gene/?term=15586
Tusc2	Tusc2	tumor suppressor 2, mitochondrial calcium regulator	80385	https://www.ncbi.nlm.nih.gov/gene/?term=80385
Slc38a3	Slc38a3	solute carrier family 38, member 3	76257	https://www.ncbi.nlm.nih.gov/gene/?term=76257
Rassf1	Rassf1	Ras association (RalGDS/AF-6) domain family member 1	56289	https://www.ncbi.nlm.nih.gov/gene/?term=56289
4930579F01Rik	4930579F01Rik	RIKEN cDNA 4930579F01 gene	67741	https://www.ncbi.nlm.nih.gov/gene/?term=67741
Sdc4	Sdc4	syndecan 4	20971	https://www.ncbi.nlm.nih.gov/gene/?term=20971
Traf4	Traf4	TNF receptor associated factor 4	22032	https://www.ncbi.nlm.nih.gov/gene/?term=22032
Nek8	Nek8	NIMA (never in mitosis gene a)-related expressed kinase 8	140859	https://www.ncbi.nlm.nih.gov/gene/?term=140859
Ttpal	Ttpal	tocopherol (alpha) transfer protein-like	76080	https://www.ncbi.nlm.nih.gov/gene/?term=76080
B4galt5	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	56336	https://www.ncbi.nlm.nih.gov/gene/?term=56336
Kdm6b	Kdm6b	KDM1 lysine (K)-specific demethylase 6B	216850	https://www.ncbi.nlm.nih.gov/gene/?term=216850
Slc25a39	Slc25a39	solute carrier family 25, member 39	68066	https://www.ncbi.nlm.nih.gov/gene/?term=68066
Tnfsfm13	Tnfsfm13	tumor necrosis factor (ligand) superfamily, membrane-bound member 13	619441	https://www.ncbi.nlm.nih.gov/gene/?term=619441
Mpdu1	Mpdu1	mannose-P-dolichol utilization defect 1	24070	https://www.ncbi.nlm.nih.gov/gene/?term=24070
Cd68	Cd68	CD68 antigen	12514	https://www.ncbi.nlm.nih.gov/gene/?term=12514
Mfsd3	Mfsd3	major facilitator superfamily domain containing 3	69572	https://www.ncbi.nlm.nih.gov/gene/?term=69572
Slc25a22	Slc25a22	solute carrier family 25 (mitochondrial carrier, glutamate), member 22	68267	https://www.ncbi.nlm.nih.gov/gene/?term=68267
Noxo1	Noxo1	NADPH oxidase organizer 1	71893	https://www.ncbi.nlm.nih.gov/gene/?term=71893
Ddx39b	Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	53817	https://www.ncbi.nlm.nih.gov/gene/?term=53817
Tlcd1	Tlcd1	TLC domain containing 1	68385	https://www.ncbi.nlm.nih.gov/gene/?term=68385
Apc2	Apc2	adenomatosis polyposis coli 2	23805	https://www.ncbi.nlm.nih.gov/gene/?term=23805
Gamt	Gamt	guanidinoacetate methyltransferase	14431	https://www.ncbi.nlm.nih.gov/gene/?term=14431
Ndufs7	Ndufs7	NADH:ubiquinone oxidoreductase core subunit S7	75406	https://www.ncbi.nlm.nih.gov/gene/?term=75406
Id2	Id2	inhibitor of DNA binding 2	15902	https://www.ncbi.nlm.nih.gov/gene/?term=15902
Per1	Per1	period circadian clock 1	18626	https://www.ncbi.nlm.nih.gov/gene/?term=18626
Vamp2	Vamp2	vesicle-associated membrane protein 2	22318	https://www.ncbi.nlm.nih.gov/gene/?term=22318
Tmem107	Tmem107	transmembrane protein 107	66910	https://www.ncbi.nlm.nih.gov/gene/?term=66910
Stat5b	Stat5b	signal transducer and activator of transcription 5B	20851	https://www.ncbi.nlm.nih.gov/gene/?term=20851
Mia2	Mia2	melanoma inhibitory activity 2	338320	https://www.ncbi.nlm.nih.gov/gene/?term=338320
Glrx5	Glrx5	glutaredoxin 5	73046	https://www.ncbi.nlm.nih.gov/gene/?term=73046
Elovl2	Elovl2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	54326	https://www.ncbi.nlm.nih.gov/gene/?term=54326
Mtss1	Mtss1	metastasis suppressor 1	211401	https://www.ncbi.nlm.nih.gov/gene/?term=211401
Ppara	Ppara	peroxisome proliferator activated receptor alpha	19013	https://www.ncbi.nlm.nih.gov/gene/?term=19013
Slc38a4	Slc38a4	solute carrier family 38, member 4	69354	https://www.ncbi.nlm.nih.gov/gene/?term=69354
Aco2	Aco2	aconitase 2, mitochondrial	11429	https://www.ncbi.nlm.nih.gov/gene/?term=11429
Gpt	Gpt	glutamic pyruvic transaminase, soluble	76282	https://www.ncbi.nlm.nih.gov/gene/?term=76282
Ahsg	Ahsg	alpha-2-HS-glycoprotein	11625	https://www.ncbi.nlm.nih.gov/gene/?term=11625
Dyrk1a	Dyrk1a	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	13548	https://www.ncbi.nlm.nih.gov/gene/?term=13548
Vps26c	Vps26c	VPS26 endosomal protein sorting factor C	13185	https://www.ncbi.nlm.nih.gov/gene/?term=13185
Trip6	Trip6	thyroid hormone receptor interactor 6	22051	https://www.ncbi.nlm.nih.gov/gene/?term=22051
Vegfa	Vegfa	vascular endothelial growth factor A	22339	https://www.ncbi.nlm.nih.gov/gene/?term=22339
Plin3	Plin3	perilipin 3	66905	https://www.ncbi.nlm.nih.gov/gene/?term=66905
Snrpc	Snrpc	U1 small nuclear ribonucleoprotein C	20630	https://www.ncbi.nlm.nih.gov/gene/?term=20630
Cdk2ap2	Cdk2ap2	CDK2-associated protein 2	52004	https://www.ncbi.nlm.nih.gov/gene/?term=52004
Doc2g	Doc2g	double C2, gamma	60425	https://www.ncbi.nlm.nih.gov/gene/?term=60425
Gcgr	Gcgr	glucagon receptor	14527	https://www.ncbi.nlm.nih.gov/gene/?term=14527
Pcyt2	Pcyt2	phosphate cytidylyltransferase 2, ethanolamine	68671	https://www.ncbi.nlm.nih.gov/gene/?term=68671
Sirt7	Sirt7	sirtuin 7	209011	https://www.ncbi.nlm.nih.gov/gene/?term=209011
Abcc2	Abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	12780	https://www.ncbi.nlm.nih.gov/gene/?term=12780
Cyp2e1	Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1	13106	https://www.ncbi.nlm.nih.gov/gene/?term=13106
Pidd1	Pidd1	p53 induced death domain protein 1	57913	https://www.ncbi.nlm.nih.gov/gene/?term=57913
Rplp2	Rplp2	ribosomal protein, large P2	67186	https://www.ncbi.nlm.nih.gov/gene/?term=67186
Pnpla2	Pnpla2	patatin-like phospholipase domain containing 2	66853	https://www.ncbi.nlm.nih.gov/gene/?term=66853
Cd151	Cd151	CD151 antigen	12476	https://www.ncbi.nlm.nih.gov/gene/?term=12476
Tspan4	Tspan4	tetraspanin 4	64540	https://www.ncbi.nlm.nih.gov/gene/?term=64540
Slc25a10	Slc25a10	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10	27376	https://www.ncbi.nlm.nih.gov/gene/?term=27376
Hgs	Hgs	HGF-regulated tyrosine kinase substrate	15239	https://www.ncbi.nlm.nih.gov/gene/?term=15239
Rassf3	Rassf3	Ras association (RalGDS/AF-6) domain family member 3	192678	https://www.ncbi.nlm.nih.gov/gene/?term=192678
Tmem14a	Tmem14a	transmembrane protein 14A	75712	https://www.ncbi.nlm.nih.gov/gene/?term=75712
Gsta3	Gsta3	glutathione S-transferase, alpha 3	14859	https://www.ncbi.nlm.nih.gov/gene/?term=14859
Mllt10	Mllt10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10	17354	https://www.ncbi.nlm.nih.gov/gene/?term=17354
Cat	Cat	catalase	12359	https://www.ncbi.nlm.nih.gov/gene/?term=12359
Ahcy	Ahcy	S-adenosylhomocysteine hydrolase	269378	https://www.ncbi.nlm.nih.gov/gene/?term=269378
Slc50a1	Slc50a1	solute carrier family 50 (sugar transporter), member 1	19729	https://www.ncbi.nlm.nih.gov/gene/?term=19729
Efna1	Efna1	ephrin A1	13636	https://www.ncbi.nlm.nih.gov/gene/?term=13636
Fga	Fga	fibrinogen alpha chain	14161	https://www.ncbi.nlm.nih.gov/gene/?term=14161
Fmo5	Fmo5	flavin containing monooxygenase 5	14263	https://www.ncbi.nlm.nih.gov/gene/?term=14263
Echdc2	Echdc2	enoyl Coenzyme A hydratase domain containing 2	52430	https://www.ncbi.nlm.nih.gov/gene/?term=52430
Scp2	Scp2	sterol carrier protein 2, liver	20280	https://www.ncbi.nlm.nih.gov/gene/?term=20280
Azin2	Azin2	antizyme inhibitor 2	242669	https://www.ncbi.nlm.nih.gov/gene/?term=242669
Ak2	Ak2	adenylate kinase 2	11637	https://www.ncbi.nlm.nih.gov/gene/?term=11637
Gpatch3	Gpatch3	G patch domain containing 3	242691	https://www.ncbi.nlm.nih.gov/gene/?term=242691
Nudc	Nudc	nudC nuclear distribution protein	18221	https://www.ncbi.nlm.nih.gov/gene/?term=18221
H6pd	H6pd	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	100198	https://www.ncbi.nlm.nih.gov/gene/?term=100198
Aldh2	Aldh2	aldehyde dehydrogenase 2, mitochondrial	11669	https://www.ncbi.nlm.nih.gov/gene/?term=11669
Cyp2w1	Cyp2w1	cytochrome P450, family 2, subfamily w, polypeptide 1	545817	https://www.ncbi.nlm.nih.gov/gene/?term=545817
Actb	Actb	actin, beta	11461	https://www.ncbi.nlm.nih.gov/gene/?term=11461
Ung	Ung	uracil DNA glycosylase	22256	https://www.ncbi.nlm.nih.gov/gene/?term=22256
Ephb4	Ephb4	Eph receptor B4	13846	https://www.ncbi.nlm.nih.gov/gene/?term=13846
Ino80b	Ino80b	INO80 complex subunit B	70020	https://www.ncbi.nlm.nih.gov/gene/?term=70020
Wbp1	Wbp1	WW domain binding protein 1	22377	https://www.ncbi.nlm.nih.gov/gene/?term=22377
Mogs	Mogs	mannosyl-oligosaccharide glucosidase	57377	https://www.ncbi.nlm.nih.gov/gene/?term=57377
Mrpl53	Mrpl53	mitochondrial ribosomal protein L53	68499	https://www.ncbi.nlm.nih.gov/gene/?term=68499
Klf15	Klf15	Kruppel-like factor 15	66277	https://www.ncbi.nlm.nih.gov/gene/?term=66277
Aldh1l1	Aldh1l1	aldehyde dehydrogenase 1 family, member L1	107747	https://www.ncbi.nlm.nih.gov/gene/?term=107747
Furin	Furin	furin (paired basic amino acid cleaving enzyme)	18550	https://www.ncbi.nlm.nih.gov/gene/?term=18550
Mylpf	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle	17907	https://www.ncbi.nlm.nih.gov/gene/?term=17907
Stard10	Stard10	START domain containing 10	56018	https://www.ncbi.nlm.nih.gov/gene/?term=56018
Dgat2	Dgat2	diacylglycerol O-acyltransferase 2	67800	https://www.ncbi.nlm.nih.gov/gene/?term=67800
Ccdc120	Ccdc120	coiled-coil domain containing 120	54648	https://www.ncbi.nlm.nih.gov/gene/?term=54648
Tnpo2	Tnpo2	transportin 2 (importin 3, karyopherin beta 2b)	212999	https://www.ncbi.nlm.nih.gov/gene/?term=212999
Mast3	Mast3	microtubule associated serine/threonine kinase 3	546071	https://www.ncbi.nlm.nih.gov/gene/?term=546071
