userId	geneSymbol	geneName	entrezgene	gLink
Gna12	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
Dlat	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	235339	https://www.ncbi.nlm.nih.gov/gene/?term=235339
Ccnd2	Ccnd2	cyclin D2	12444	https://www.ncbi.nlm.nih.gov/gene/?term=12444
Trim25	Trim25	tripartite motif-containing 25	217069	https://www.ncbi.nlm.nih.gov/gene/?term=217069
Mnt	Mnt	max binding protein	17428	https://www.ncbi.nlm.nih.gov/gene/?term=17428
Pemt	Pemt	phosphatidylethanolamine N-methyltransferase	18618	https://www.ncbi.nlm.nih.gov/gene/?term=18618
Raf1	Raf1	v-raf-leukemia viral oncogene 1	110157	https://www.ncbi.nlm.nih.gov/gene/?term=110157
Acvrl1	Acvrl1	activin A receptor, type II-like 1	11482	https://www.ncbi.nlm.nih.gov/gene/?term=11482
Myo18a	Myo18a	myosin XVIIIA	360013	https://www.ncbi.nlm.nih.gov/gene/?term=360013
Haao	Haao	3-hydroxyanthranilate 3,4-dioxygenase	107766	https://www.ncbi.nlm.nih.gov/gene/?term=107766
Abhd15	Abhd15	abhydrolase domain containing 15	67477	https://www.ncbi.nlm.nih.gov/gene/?term=67477
Il12rb1	Il12rb1	interleukin 12 receptor, beta 1	16161	https://www.ncbi.nlm.nih.gov/gene/?term=16161
Mmp11	Mmp11	matrix metallopeptidase 11	17385	https://www.ncbi.nlm.nih.gov/gene/?term=17385
Smarcb1	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	20587	https://www.ncbi.nlm.nih.gov/gene/?term=20587
Ilf2	Ilf2	interleukin enhancer binding factor 2	67781	https://www.ncbi.nlm.nih.gov/gene/?term=67781
Chtop	Chtop	chromatin target of PRMT1	66511	https://www.ncbi.nlm.nih.gov/gene/?term=66511
Vps9d1	Vps9d1	VPS9 domain containing 1	72325	https://www.ncbi.nlm.nih.gov/gene/?term=72325
Zfp276	Zfp276	zinc finger protein (C2H2 type) 276	57247	https://www.ncbi.nlm.nih.gov/gene/?term=57247
Lgals9	Lgals9	lectin, galactose binding, soluble 9	16859	https://www.ncbi.nlm.nih.gov/gene/?term=16859
Ftcd	Ftcd	formiminotransferase cyclodeaminase	14317	https://www.ncbi.nlm.nih.gov/gene/?term=14317
Rarg	Rarg	retinoic acid receptor, gamma	19411	https://www.ncbi.nlm.nih.gov/gene/?term=19411
Npepps	Npepps	aminopeptidase puromycin sensitive	19155	https://www.ncbi.nlm.nih.gov/gene/?term=19155
Gstt1	Gstt1	glutathione S-transferase, theta 1	14871	https://www.ncbi.nlm.nih.gov/gene/?term=14871
Gstt3	Gstt3	glutathione S-transferase, theta 3	103140	https://www.ncbi.nlm.nih.gov/gene/?term=103140
Ddt	Ddt	D-dopachrome tautomerase	13202	https://www.ncbi.nlm.nih.gov/gene/?term=13202
Cldn15	Cldn15	claudin 15	60363	https://www.ncbi.nlm.nih.gov/gene/?term=60363
Tcirg1	Tcirg1	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	27060	https://www.ncbi.nlm.nih.gov/gene/?term=27060
Naglu	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	27419	https://www.ncbi.nlm.nih.gov/gene/?term=27419
Coasy	Coasy	Coenzyme A synthase	71743	https://www.ncbi.nlm.nih.gov/gene/?term=71743
Nfix	Nfix	nuclear factor I/X	18032	https://www.ncbi.nlm.nih.gov/gene/?term=18032
Tmem25	Tmem25	transmembrane protein 25	71687	https://www.ncbi.nlm.nih.gov/gene/?term=71687
Rab34	Rab34	RAB34, member RAS oncogene family	19376	https://www.ncbi.nlm.nih.gov/gene/?term=19376
